Entry ID;Experimental Method;Number of Water Molecules per Deposited Model;Resolution (Å);
1DUX;X-RAY DIFFRACTION;225;2,1;
1E3M;X-RAY DIFFRACTION;478;2,2;
1E3O;X-RAY DIFFRACTION;138;1,9;
1E7J;SOLUTION NMR;;;
1EA4;X-RAY DIFFRACTION;101;2,95;
1EBM;X-RAY DIFFRACTION;133;2,1;
1ECR;X-RAY DIFFRACTION;49;2,7;
1EFA;X-RAY DIFFRACTION;62;2,6;
1EGW;X-RAY DIFFRACTION;656;1,5;
1EHL;X-RAY DIFFRACTION;360;2,4;
1EJ9;X-RAY DIFFRACTION;353;2,6;
1EMH;X-RAY DIFFRACTION;171;1,8;
1EMJ;X-RAY DIFFRACTION;161;2;
1EO3;X-RAY DIFFRACTION;297;2;
1EO4;X-RAY DIFFRACTION;300;1,9;
1EON;X-RAY DIFFRACTION;357;1,6;
1EOO;X-RAY DIFFRACTION;293;2,16;
1EOP;X-RAY DIFFRACTION;70;2,6;
1EQZ;X-RAY DIFFRACTION;349;2,5;
1ERI;X-RAY DIFFRACTION;61;2,5;
1ESG;X-RAY DIFFRACTION;579;1,9;
1EVW;X-RAY DIFFRACTION;;3,1;
1EWN;X-RAY DIFFRACTION;80;2,1;
1EWQ;X-RAY DIFFRACTION;814;2,2;
1EXI;X-RAY DIFFRACTION;3;3,12;
1EXJ;X-RAY DIFFRACTION;5;3;
1EYG;X-RAY DIFFRACTION;39;2,8;
1EYU;X-RAY DIFFRACTION;366;1,78;
1F0O;X-RAY DIFFRACTION;190;2,5;
1F0V;X-RAY DIFFRACTION;554;1,7;
1F2I;X-RAY DIFFRACTION;319;2,35;
1F44;X-RAY DIFFRACTION;310;2,05;
1F4K;X-RAY DIFFRACTION;96;2,5;
1F4R;X-RAY DIFFRACTION;48;2,4;
1F4S;SOLUTION NMR;1;;
1F5E;SOLUTION NMR;1;;
1F5T;X-RAY DIFFRACTION;4;3;
1F66;X-RAY DIFFRACTION;325;2,6;
1F6O;X-RAY DIFFRACTION;134;2,4;
1FIU;X-RAY DIFFRACTION;1279;1,6;
1FJA;SOLUTION NMR;;;
1FJL;X-RAY DIFFRACTION;243;2;
1FJX;X-RAY DIFFRACTION;235;2,26;
1FLO;X-RAY DIFFRACTION;193;2,65;
1FN7;X-RAY DIFFRACTION;132;2,6;
1FOK;X-RAY DIFFRACTION;172;2,8;
1FOS;X-RAY DIFFRACTION;;3,05;
1FW6;X-RAY DIFFRACTION;228;2,7;
1FYK;X-RAY DIFFRACTION;38;2,5;
1FYL;X-RAY DIFFRACTION;134;2,1;
1FYM;X-RAY DIFFRACTION;92;2,2;
1G2D;X-RAY DIFFRACTION;224;2,2;
1G2F;X-RAY DIFFRACTION;227;2;
1G38;X-RAY DIFFRACTION;496;2;
1G3X;X-RAY DIFFRACTION;103;2,7;
1G4D;SOLUTION NMR;;;
1G9Y;X-RAY DIFFRACTION;435;2,05;
1G9Z;X-RAY DIFFRACTION;857;1,8;
1GA5;X-RAY DIFFRACTION;279;2,4;
1GAT;SOLUTION NMR;;;
1GAU;SOLUTION NMR;;;
1GCC;SOLUTION NMR;;;
1GD2;X-RAY DIFFRACTION;831;2;
1GDT;X-RAY DIFFRACTION;29;3;
1GJI;X-RAY DIFFRACTION;;2,85;
1GLU;X-RAY DIFFRACTION;41;2,9;
1GM5;X-RAY DIFFRACTION;;3,24;
1GT0;X-RAY DIFFRACTION;90;2,6;
1GTW;X-RAY DIFFRACTION;316;1,85;
1GU4;X-RAY DIFFRACTION;311;1,8;
1GU5;X-RAY DIFFRACTION;224;2,1;
1GXP;X-RAY DIFFRACTION;180;2,5;
1H0M;X-RAY DIFFRACTION;84;3;
1H38;X-RAY DIFFRACTION;1162;2,9;
1H6F;X-RAY DIFFRACTION;611;1,7;
1H88;X-RAY DIFFRACTION;25;2,8;
1H89;X-RAY DIFFRACTION;123;2,45;
1H8A;X-RAY DIFFRACTION;171;2,23;
1H9D;X-RAY DIFFRACTION;56;2,6;
1H9T;X-RAY DIFFRACTION;25;3,25;
1HAO;X-RAY DIFFRACTION;149;2,8;
1HAP;X-RAY DIFFRACTION;151;2,8;
1HBX;X-RAY DIFFRACTION;;3,15;
1HCQ;X-RAY DIFFRACTION;158;2,4;
1HCR;X-RAY DIFFRACTION;16;2,3;
1HDD;X-RAY DIFFRACTION;;2,8;
1HF0;X-RAY DIFFRACTION;119;2,7;
1HHT;X-RAY DIFFRACTION;;2,9;
1HI0;X-RAY DIFFRACTION;;3;
1HJB;X-RAY DIFFRACTION;;3;
1HJC;X-RAY DIFFRACTION;58;2,65;
1HLO;X-RAY DIFFRACTION;18;2,8;
1HLV;X-RAY DIFFRACTION;98;2,5;
1HLZ;X-RAY DIFFRACTION;9;2,8;
1HRY;SOLUTION NMR;;;
1HRZ;SOLUTION NMR;;;
1HU0;X-RAY DIFFRACTION;98;2,35;
1HUO;X-RAY DIFFRACTION;119;2,6;
1HUT;X-RAY DIFFRACTION;130;2,9;
1HUZ;X-RAY DIFFRACTION;122;2,6;
1HVN;SOLUTION NMR;;;
1HVO;SOLUTION NMR;;;
1HW2;X-RAY DIFFRACTION;;3,25;
1HWT;X-RAY DIFFRACTION;58;2,5;
1HYS;X-RAY DIFFRACTION;;3;
1I3J;X-RAY DIFFRACTION;185;2,2;
1I3W;X-RAY DIFFRACTION;188;1,7;
1I6H;X-RAY DIFFRACTION;;3,3;
1I6J;X-RAY DIFFRACTION;204;2;
1I7D;X-RAY DIFFRACTION;332;2,05;
1I8M;X-RAY DIFFRACTION;339;2,1;
1IAW;X-RAY DIFFRACTION;44;2,4;
1IC8;X-RAY DIFFRACTION;139;2,6;
1ID3;X-RAY DIFFRACTION;60;3,1;
1IF1;X-RAY DIFFRACTION;10;3;
1IG4;SOLUTION NMR;;;
1IG7;X-RAY DIFFRACTION;153;2,2;
1IG9;X-RAY DIFFRACTION;356;2,6;
1IGN;X-RAY DIFFRACTION;206;2,25;
1IHF;X-RAY DIFFRACTION;385;2,5;
1IJS;X-RAY DIFFRACTION;;3,25;
1IJW;X-RAY DIFFRACTION;7;2,4;
1IMH;X-RAY DIFFRACTION;;2,86;
1IO4;X-RAY DIFFRACTION;8;3;
1IPP;X-RAY DIFFRACTION;547;2,2;
1IU3;X-RAY DIFFRACTION;131;3;
1IV6;SOLUTION NMR;;;
1IXY;X-RAY DIFFRACTION;240;2,5;
1J1V;X-RAY DIFFRACTION;143;2,1;
1J3E;X-RAY DIFFRACTION;84;2,5;
1J46;SOLUTION NMR;;;
1J47;SOLUTION NMR;;;
1J4W;SOLUTION NMR;;;
1J59;X-RAY DIFFRACTION;286;2,5;
1J5K;SOLUTION NMR;;;
1J5N;SOLUTION NMR;;;
1J5O;X-RAY DIFFRACTION;;3,5;
1J75;X-RAY DIFFRACTION;102;1,85;
1J9N;SOLUTION NMR;;;
1JB7;X-RAY DIFFRACTION;503;1,86;
1JE8;X-RAY DIFFRACTION;330;2,12;
1JEY;X-RAY DIFFRACTION;255;2,5;
1JFI;X-RAY DIFFRACTION;9;2,62;
1JFS;X-RAY DIFFRACTION;31;2,9;
1JFT;X-RAY DIFFRACTION;65;2,5;
1JGG;X-RAY DIFFRACTION;68;2;
1JH9;X-RAY DIFFRACTION;116;2,55;
1JJ4;X-RAY DIFFRACTION;190;2,4;
1JJ6;X-RAY DIFFRACTION;10;2,3;
1JJ8;X-RAY DIFFRACTION;12;2,75;
1JK1;X-RAY DIFFRACTION;136;1,9;
1JK2;X-RAY DIFFRACTION;145;1,65;
1JKO;X-RAY DIFFRACTION;13;2,24;
1JKP;X-RAY DIFFRACTION;4;2,8;
1JKQ;X-RAY DIFFRACTION;;2,86;
1JKR;X-RAY DIFFRACTION;2;2,28;
1JMC;X-RAY DIFFRACTION;90;2,4;
1JNM;X-RAY DIFFRACTION;220;2,2;
1JT0;X-RAY DIFFRACTION;45;2,9;
1JWL;X-RAY DIFFRACTION;;4;
1JX4;X-RAY DIFFRACTION;525;1,7;
1JXL;X-RAY DIFFRACTION;252;2,1;
1K3W;X-RAY DIFFRACTION;397;1,42;
1K3X;X-RAY DIFFRACTION;488;1,25;
1K4S;X-RAY DIFFRACTION;;3,2;
1K4T;X-RAY DIFFRACTION;227;2,1;
1K61;X-RAY DIFFRACTION;195;2,1;
1K6O;X-RAY DIFFRACTION;;3,19;
1K78;X-RAY DIFFRACTION;484;2,25;
1K79;X-RAY DIFFRACTION;96;2,4;
1K7A;X-RAY DIFFRACTION;;2,8;
1K82;X-RAY DIFFRACTION;499;2,1;
1K8G;X-RAY DIFFRACTION;183;2,6;
1KB2;X-RAY DIFFRACTION;35;2,7;
1KB4;X-RAY DIFFRACTION;31;2,8;
1KB6;X-RAY DIFFRACTION;34;2,7;
1KBU;X-RAY DIFFRACTION;237;2,2;
1KC6;X-RAY DIFFRACTION;519;2,6;
1KDH;X-RAY DIFFRACTION;1;3;
1KEG;X-RAY DIFFRACTION;70;2,4;
1KFS;X-RAY DIFFRACTION;316;2,1;
1KFV;X-RAY DIFFRACTION;54;2,55;
1KIX;X-RAY DIFFRACTION;86;2,7;
1KLN;X-RAY DIFFRACTION;;3,2;
1KQQ;SOLUTION NMR;;;
1KRP;X-RAY DIFFRACTION;268;2,2;
1KSP;X-RAY DIFFRACTION;210;2,3;
1KSX;X-RAY DIFFRACTION;20;3,2;
1KSY;X-RAY DIFFRACTION;3;3,05;
1KU7;X-RAY DIFFRACTION;67;2,4;
1KX3;X-RAY DIFFRACTION;943;2;
1KX4;X-RAY DIFFRACTION;433;2,6;
1KX5;X-RAY DIFFRACTION;3130;1,94;
1L1M;SOLUTION NMR;;;
1L1T;X-RAY DIFFRACTION;231;1,8;
1L1V;SOLUTION NMR;;;
1L1Z;X-RAY DIFFRACTION;234;1,7;
1L2B;X-RAY DIFFRACTION;123;2,4;
1L2C;X-RAY DIFFRACTION;141;2,2;
1L2D;X-RAY DIFFRACTION;181;2;
1L3L;X-RAY DIFFRACTION;914;1,66;
1L3S;X-RAY DIFFRACTION;560;1,7;
1L3T;X-RAY DIFFRACTION;521;1,7;
1L3U;X-RAY DIFFRACTION;581;1,8;
1L3V;X-RAY DIFFRACTION;507;1,71;
1L5U;X-RAY DIFFRACTION;490;1,95;
1L9Z;X-RAY DIFFRACTION;;6,5;
1LAT;X-RAY DIFFRACTION;316;1,9;
1LAU;X-RAY DIFFRACTION;161;1,8;
1LB2;X-RAY DIFFRACTION;32;3,1;
1LBG;X-RAY DIFFRACTION;;4,8;
1LCC;SOLUTION NMR;53;;
1LCD;SOLUTION NMR;49;;
1LE5;X-RAY DIFFRACTION;175;2,75;
1LE8;X-RAY DIFFRACTION;102;2,3;
1LE9;X-RAY DIFFRACTION;;3;
1LEI;X-RAY DIFFRACTION;23;2,7;
1LFU;SOLUTION NMR;;;
1LLI;X-RAY DIFFRACTION;92;2,1;
1LLM;X-RAY DIFFRACTION;312;1,5;
1LMB;X-RAY DIFFRACTION;140;1,8;
1LO1;SOLUTION NMR;;;
1LPQ;X-RAY DIFFRACTION;27;3,14;
1LQ1;X-RAY DIFFRACTION;244;2,3;
1LRR;X-RAY DIFFRACTION;37;2,65;
1LV5;X-RAY DIFFRACTION;186;1,95;
1LWS;X-RAY DIFFRACTION;;3,5;
1LWT;X-RAY DIFFRACTION;15;3,2;
1LWV;X-RAY DIFFRACTION;145;2,3;
1LWW;X-RAY DIFFRACTION;164;2,1;
1LWY;X-RAY DIFFRACTION;214;2,01;
1M06;X-RAY DIFFRACTION;;3,5;
1M07;X-RAY DIFFRACTION;323;1,8;
1M0E;X-RAY DIFFRACTION;245;2,5;
1M18;X-RAY DIFFRACTION;513;2,45;
1M19;X-RAY DIFFRACTION;657;2,3;
1M1A;X-RAY DIFFRACTION;220;2,65;
1M3H;X-RAY DIFFRACTION;92;2,05;
1M3Q;X-RAY DIFFRACTION;174;1,9;
1M5R;X-RAY DIFFRACTION;772;1,8;
1M5X;X-RAY DIFFRACTION;229;2,25;
1M6X;X-RAY DIFFRACTION;;2,8;
1MA7;X-RAY DIFFRACTION;283;2,3;
1MDM;X-RAY DIFFRACTION;;2,8;
1MDY;X-RAY DIFFRACTION;25;2,8;
1MEY;X-RAY DIFFRACTION;132;2,2;
1MHD;X-RAY DIFFRACTION;24;2,8;
1MHT;X-RAY DIFFRACTION;;2,6;
1MJ2;X-RAY DIFFRACTION;220;2,4;
1MJE;X-RAY DIFFRACTION;;3,5;
1MJM;X-RAY DIFFRACTION;177;2,2;
1MJO;X-RAY DIFFRACTION;510;2,1;
1MJP;X-RAY DIFFRACTION;;3,4;
1MJQ;X-RAY DIFFRACTION;186;2,4;
1MM8;X-RAY DIFFRACTION;254;2,8;
1MNM;X-RAY DIFFRACTION;53;2,25;
1MNN;X-RAY DIFFRACTION;342;1,4;
1MNV;X-RAY DIFFRACTION;65;2,6;
1MOW;X-RAY DIFFRACTION;454;2,4;
1MQ2;X-RAY DIFFRACTION;4;3,1;
1MQ3;X-RAY DIFFRACTION;78;2,8;
1MSE;SOLUTION NMR;;;
1MSF;SOLUTION NMR;;;
1MSW;X-RAY DIFFRACTION;190;2,1;
1MTL;X-RAY DIFFRACTION;93;2,8;
1MUH;X-RAY DIFFRACTION;306;2,3;
1MUS;X-RAY DIFFRACTION;615;1,9;
1MVM;X-RAY DIFFRACTION;;3,5;
1MW8;X-RAY DIFFRACTION;553;1,9;
1MWI;X-RAY DIFFRACTION;122;2,35;
1MWJ;X-RAY DIFFRACTION;58;2,85;
1N39;X-RAY DIFFRACTION;153;2,2;
1N3A;X-RAY DIFFRACTION;148;2,2;
1N3C;X-RAY DIFFRACTION;165;2,7;
1N3E;X-RAY DIFFRACTION;233;2,5;
1N3F;X-RAY DIFFRACTION;513;2;
1N48;X-RAY DIFFRACTION;389;2,2;
1N4L;X-RAY DIFFRACTION;145;2;
1N56;X-RAY DIFFRACTION;497;2,4;
1N5Y;X-RAY DIFFRACTION;;3,1;
1N6J;X-RAY DIFFRACTION;228;2,2;
1N6Q;X-RAY DIFFRACTION;2;3;
1NFK;X-RAY DIFFRACTION;317;2,3;
1NG9;X-RAY DIFFRACTION;364;2,6;
1NGM;X-RAY DIFFRACTION;;2,95;
1NH2;X-RAY DIFFRACTION;477;1,9;
1NH3;X-RAY DIFFRACTION;33;3,1;
1NJW;X-RAY DIFFRACTION;428;1,9;
1NJX;X-RAY DIFFRACTION;484;1,65;
1NJY;X-RAY DIFFRACTION;386;2;
1NJZ;X-RAY DIFFRACTION;368;2;
1NK0;X-RAY DIFFRACTION;658;1,7;
1NK2;SOLUTION NMR;;;
1NK3;SOLUTION NMR;;;
1NK4;X-RAY DIFFRACTION;485;1,6;
1NK5;X-RAY DIFFRACTION;500;2,1;
1NK6;X-RAY DIFFRACTION;306;2,1;
1NK7;X-RAY DIFFRACTION;509;1,9;
1NK8;X-RAY DIFFRACTION;532;1,9;
1NK9;X-RAY DIFFRACTION;423;1,9;
1NKB;X-RAY DIFFRACTION;352;2;
1NKC;X-RAY DIFFRACTION;613;1,8;
1NKE;X-RAY DIFFRACTION;441;1,8;
1NKP;X-RAY DIFFRACTION;581;1,8;
1NLW;X-RAY DIFFRACTION;251;2;
1NNE;X-RAY DIFFRACTION;99;3,11;
1NNJ;X-RAY DIFFRACTION;227;1,9;
1NOP;X-RAY DIFFRACTION;96;2,3;
1NOY;X-RAY DIFFRACTION;179;2,2;
1NVP;X-RAY DIFFRACTION;231;2,1;
1NWQ;X-RAY DIFFRACTION;34;2,8;
1NZB;X-RAY DIFFRACTION;3;3,1;
1O3Q;X-RAY DIFFRACTION;41;3;
1O3R;X-RAY DIFFRACTION;54;3;
1O3S;X-RAY DIFFRACTION;36;3;
1O3T;X-RAY DIFFRACTION;56;2,8;
1O4X;SOLUTION NMR;;;
1OCT;X-RAY DIFFRACTION;;3;
1ODG;X-RAY DIFFRACTION;81;2,8;
1ODH;X-RAY DIFFRACTION;4;2,85;
1OE4;X-RAY DIFFRACTION;673;2;
1OE5;X-RAY DIFFRACTION;227;2,3;
1OE6;X-RAY DIFFRACTION;110;2,65;
1OH5;X-RAY DIFFRACTION;57;2,9;
1OH6;X-RAY DIFFRACTION;380;2,4;
1OH7;X-RAY DIFFRACTION;89;2,5;
1OH8;X-RAY DIFFRACTION;137;2,9;
1OJ8;X-RAY DIFFRACTION;220;1,7;
1OMH;X-RAY DIFFRACTION;256;1,95;
1ORN;X-RAY DIFFRACTION;105;1,7;
1ORP;X-RAY DIFFRACTION;71;2,2;
1OSB;X-RAY DIFFRACTION;257;2,65;
1OSL;SOLUTION NMR;;;
1OTC;X-RAY DIFFRACTION;23;2,8;
1OUP;X-RAY DIFFRACTION;328;2,3;
1OUQ;X-RAY DIFFRACTION;3;3,2;
1OUZ;X-RAY DIFFRACTION;162;2,41;
1OVF;SOLUTION NMR;;;
1OWF;X-RAY DIFFRACTION;153;1,95;
1OWG;X-RAY DIFFRACTION;83;2,1;
1OWR;X-RAY DIFFRACTION;;3;
1OZJ;X-RAY DIFFRACTION;47;2,4;
1P34;X-RAY DIFFRACTION;238;2,7;
1P3A;X-RAY DIFFRACTION;104;3;
1P3B;X-RAY DIFFRACTION;164;3;
1P3F;X-RAY DIFFRACTION;171;2,9;
1P3G;X-RAY DIFFRACTION;214;2,7;
1P3I;X-RAY DIFFRACTION;290;2,3;
1P3K;X-RAY DIFFRACTION;162;2,9;
1P3L;X-RAY DIFFRACTION;218;2,4;
1P3M;X-RAY DIFFRACTION;117;2,9;
1P3O;X-RAY DIFFRACTION;238;2,75;
1P3P;X-RAY DIFFRACTION;286;2,7;
1P47;X-RAY DIFFRACTION;100;2,2;
1P4E;X-RAY DIFFRACTION;266;2,7;
1P51;X-RAY DIFFRACTION;72;2,5;
1P59;X-RAY DIFFRACTION;31;2,5;
1P5W;X-RAY DIFFRACTION;84;3,3;
1P71;X-RAY DIFFRACTION;196;1,9;
1P78;X-RAY DIFFRACTION;94;2,25;
1P7D;X-RAY DIFFRACTION;;2,95;
1P7H;X-RAY DIFFRACTION;189;2,6;
1P8K;X-RAY DIFFRACTION;;2,6;
1PA6;X-RAY DIFFRACTION;503;2,45;
1PAR;X-RAY DIFFRACTION;45;2,6;
1PDN;X-RAY DIFFRACTION;13;2,5;
1PER;X-RAY DIFFRACTION;40;2,5;
1PFE;X-RAY DIFFRACTION;80;1,1;
1PFI;FIBER DIFFRACTION;;3;
1PGZ;X-RAY DIFFRACTION;46;2,6;
1PH1;X-RAY DIFFRACTION;303;2,51;
1PH2;X-RAY DIFFRACTION;503;3,1;
1PH3;X-RAY DIFFRACTION;503;2,3;
1PH4;X-RAY DIFFRACTION;503;2,3;
1PH5;X-RAY DIFFRACTION;503;2,3;
1PH6;X-RAY DIFFRACTION;303;2,1;
1PH7;X-RAY DIFFRACTION;502;2,9;
1PH8;X-RAY DIFFRACTION;503;2,36;
1PH9;X-RAY DIFFRACTION;503;2,5;
1PHJ;X-RAY DIFFRACTION;303;2,5;
1PJI;X-RAY DIFFRACTION;223;1,9;
1PJJ;X-RAY DIFFRACTION;278;1,9;
1PM5;X-RAY DIFFRACTION;306;1,95;
1PNR;X-RAY DIFFRACTION;46;2,7;
1PO6;X-RAY DIFFRACTION;155;2,1;
1PP7;X-RAY DIFFRACTION;65;2,45;
1PP8;X-RAY DIFFRACTION;;3,05;
1PT3;X-RAY DIFFRACTION;232;2,5;
1PUE;X-RAY DIFFRACTION;143;2,1;
1PUF;X-RAY DIFFRACTION;247;1,9;
1PV4;X-RAY DIFFRACTION;41;3;
1PVI;X-RAY DIFFRACTION;;2,6;
1PVP;X-RAY DIFFRACTION;256;2,35;
1PVQ;X-RAY DIFFRACTION;67;2,75;
1PVR;X-RAY DIFFRACTION;103;2,65;
1PYI;X-RAY DIFFRACTION;1;3,2;
1PZU;X-RAY DIFFRACTION;;3,1;
1Q0T;X-RAY DIFFRACTION;;3,1;
1Q3F;X-RAY DIFFRACTION;275;1,9;
1Q3U;X-RAY DIFFRACTION;3;2,9;
1Q3V;X-RAY DIFFRACTION;3;2,91;
1Q9X;X-RAY DIFFRACTION;535;2,69;
1Q9Y;X-RAY DIFFRACTION;84;2,8;
1QAI;X-RAY DIFFRACTION;281;2,3;
1QAJ;X-RAY DIFFRACTION;406;2,3;
1QBJ;X-RAY DIFFRACTION;244;2,1;
1QLN;X-RAY DIFFRACTION;487;2,4;
1QN3;X-RAY DIFFRACTION;472;1,95;
1QN4;X-RAY DIFFRACTION;438;1,86;
1QN5;X-RAY DIFFRACTION;501;1,93;
1QN6;X-RAY DIFFRACTION;378;2,1;
1QN7;X-RAY DIFFRACTION;263;2,3;
1QN8;X-RAY DIFFRACTION;349;2,1;
1QN9;X-RAY DIFFRACTION;350;1,9;
1QNA;X-RAY DIFFRACTION;478;1,8;
1QNB;X-RAY DIFFRACTION;329;2,23;
1QNC;X-RAY DIFFRACTION;269;2,3;
1QNE;X-RAY DIFFRACTION;520;1,9;
1QP0;X-RAY DIFFRACTION;2;2,9;
1QP4;X-RAY DIFFRACTION;2;3;
1QP7;X-RAY DIFFRACTION;2;2,9;
1QP9;X-RAY DIFFRACTION;96;2,8;
1QPI;X-RAY DIFFRACTION;41;2,5;
1QPS;X-RAY DIFFRACTION;44;2,5;
1QPZ;X-RAY DIFFRACTION;92;2,5;
1QQA;X-RAY DIFFRACTION;3;3;
1QQB;X-RAY DIFFRACTION;57;2,7;
1QRH;X-RAY DIFFRACTION;51;2,5;
1QRI;X-RAY DIFFRACTION;52;2,6;
1QRV;X-RAY DIFFRACTION;116;2,2;
1QSL;X-RAY DIFFRACTION;191;2,2;
